curvature,strokewidth,density,x,y,w,h,distance,letterReversal,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0,0,0.984375,0,0,3,63,0,0,#NAME?,#NAME?,#NAME?,-0.015748357,1
0.000376101,62.00793601,1.015625,0,0,3,64,1,0,-7.885652834,4.127262377,0,0.015504187,1
0.283454175,35.06503301,1.359375,0,0,3,86,1,0,-1.260704809,3.557204423,0,0.307025035,0
0.000936383,82.02409289,1.66015625,0,0,4,84,1,0,-6.973485977,4.40701302,0,0.506911724,1
0.001386996,44.04442252,0.91796875,0,0,4,46,1,0,-6.580615022,3.785198727,0,-0.08559193,1
0,0,0.87890625,0,0,4,45,0,0,#NAME?,#NAME?,#NAME?,-0.129077042,1
0.289740612,23.02221126,0.91796875,0,0,4,46,1,0,-1.238769198,3.136459457,0,-0.08559193,0
0.000586783,19.10594231,1.03125,0,0,5,43,1,0,-7.440855483,2.949999402,0,0.030771659,1
0.000589047,39.05844838,1.3828125,0,0,5,58,1,0,-7.437004581,3.665059201,0,0.324119469,1
0.002450466,31.01562119,0.796875,0,0,5,33,1,0,-6.011477068,3.434490987,0,-0.227057451,1
0.002861675,34.05877273,0.84375,0,0,5,35,1,0,-5.856348161,3.528087642,0,-0.169899037,1
0,49.09175083,1.171875,0,0,5,50,0,0,#NAME?,3.893691013,#NAME?,0.15860503,1
0.000888124,38.588714,1.1015625,0,0,5,46,1,0,-7.026399185,3.65295985,0,0.096729626,1
0.001220478,49.16299421,1.1953125,0,0,5,50,1,0,-6.708512694,3.89514119,0,0.178407657,1
0,26.12444226,0.9140625,0,0,5,38,1,0,#NAME?,3.262871361,0,-0.089856329,1
0,0,1.453125,0,0,5,62,0,0,#NAME?,#NAME?,#NAME?,0.37371641,1
0.022458837,14.81588698,0.984375,0,0,5,42,0,0,-3.796071112,2.69570005,#NAME?,-0.015748357,1
0.008389552,29.60462719,1.125,0,0,5,47,1,0,-4.780768157,3.387930673,0,0.117783036,1
0,25.57980287,1.2421875,0,0,5,53,0,0,#NAME?,3.24180309,#NAME?,0.216873938,1
0.0048344,18.14658213,0.8671875,0,0,5,36,1,0,-5.331998253,2.898482231,0,-0.142500063,1
0,16.56928715,0.84375,0,0,5,36,0,1,#NAME?,2.80755081,#NAME?,-0.169899037,1
0.250877413,17.91013599,0.8671875,0,0,5,36,1,0,-1.382790854,2.885366809,0,-0.142500063,0
0,39.05124838,0.9609375,0,0,5,40,1,0,#NAME?,3.664874845,0,-0.039845909,0
0.001047538,43.51333096,1.8046875,0,0,5,76,1,0,-6.86131263,3.77306735,0,0.590387447,0
0,74.00675645,1.8515625,0,0,5,78,1,0,#NAME?,4.304156392,0,0.616029877,0
0.28985506,27.38898133,1.9453125,0,0,5,82,1,0,-1.238374274,3.310140791,0,0.665422633,0
0.001909934,40.57637182,1.96875,0,0,5,83,1,0,-6.260686592,3.703185922,0,0.677398824,0
0.002982834,35.22782991,1.01171875,0,0,6,36,1,0,-5.814881424,3.561836393,0,0.011650617,1
0.011847627,87.02272434,2.4609375,0,0,6,89,1,0,-4.435627685,4.466169284,0,0.900542375,1
0.027245735,25.74382387,1.83203125,0,0,6,66,1,0,-3.602858284,3.248194749,0,0.605425324,1
0.004656006,62.07902231,2.40625,0,0,6,87,1,0,-5.36959728,4.128408127,0,0.878069519,1
0.210496496,41.53844886,2.078125,0,0,6,75,1,0,-1.558286272,3.726619477,0,0.731466045,1
0.001901736,37.33630941,1.06640625,0,0,6,38,1,0,-6.264988126,3.619966296,0,0.064294351,1
0.000478951,30.06659276,0.875,0,0,6,31,1,0,-7.643912262,3.40341468,0,-0.133531393,1
0.001564025,33.50806242,1.01171875,0,0,6,37,0,0,-6.460492652,3.511786079,#NAME?,0.011650617,1
0.004718362,31.69953946,1.09375,0,0,6,40,0,0,-5.356293574,3.456302153,#NAME?,0.089612159,1
0,26.51892173,0.79296875,0,0,6,29,0,0,#NAME?,3.277858506,#NAME?,-0.231971465,1
0.001732868,28.01785145,0.8203125,0,0,6,29,1,0,-6.35797744,3.332841859,0,-0.198069914,1
0.00514461,25.5849037,0.90234375,0,0,6,32,1,0,-5.269805714,3.242002478,0,-0.102759734,1
0,24.0208243,1.33984375,0,0,6,49,0,0,#NAME?,3.178921133,#NAME?,0.292553003,1
0.27351636,15.71491737,0.9296875,0,0,6,33,1,0,-1.296393842,2.754610412,0,-0.072906771,1
0.003832278,30.14962686,0.875,0,0,6,31,1,0,-5.564295875,3.406172547,0,-0.133531393,1
0,20.13804161,1.23046875,0,0,6,44,1,0,#NAME?,3.002610644,0,0.207395194,1
0,32.51538098,1.8046875,0,0,6,66,0,0,#NAME?,3.481713238,#NAME?,0.590387447,1
0.000415133,47.09564736,1.33984375,0,0,6,48,1,0,-7.786911607,3.852180584,0,0.292553003,1
0,18.70048536,1.06640625,0,0,6,38,1,0,#NAME?,2.928549479,0,0.064294351,1
0.048274901,12.90674965,1.0390625,0,0,6,37,1,0,-3.030843501,2.557750403,0,0.038318864,1
0.000761208,22.73615584,0.8203125,0,0,6,29,1,0,-7.180603913,3.123956426,0,-0.198069914,1
0.182801756,28.59043892,2.40625,0,0,6,87,1,1,-1.699353014,3.353072358,0,0.878069519,1
0.000742228,29.06888371,0.84765625,0,0,6,30,1,1,-7.205854084,3.369668314,0,-0.165280091,1
0,35.00675552,1.0390625,0,0,6,38,0,1,#NAME?,3.555541058,#NAME?,0.038318864,1
0,23.72272866,1.23046875,0,0,6,45,0,1,#NAME?,3.166433604,#NAME?,0.207395194,1
0.179670697,0.207106781,1.640625,0,0,6,60,0,1,-1.716629565,-1.574520768,#NAME?,0.495077267,1
0.000785756,66.06814664,1.859375,0,0,6,67,1,1,-7.148864246,4.190686734,0,0.62024041,1
0.001407331,48.16637832,1.3671875,0,0,6,49,1,0,-6.566060276,3.874661232,0,0.31275571,1
0.000253802,52.08646657,1.4765625,0,0,6,53,1,0,-8.278956122,3.952905156,0,0.389716751,1
0.00097943,29.07374964,1.0390625,0,0,6,37,1,0,-6.928539788,3.369835693,0,0.038318864,1
0.011554703,30.41381265,0.875,0,0,6,31,1,0,-4.460662739,3.414896869,0,-0.133531393,1
0.009852206,39.55802018,1.23046875,0,0,6,45,0,0,-4.620059889,3.677768459,#NAME?,0.207395194,1
0.00733506,21.55888525,1.06640625,0,0,6,38,1,0,-4.915089687,3.07078804,0,0.064294351,0
0.001033993,46.27094121,1.3125,0,0,6,47,1,0,-6.874327273,3.834514144,0,0.271933715,0
0.003347364,56.22277119,1.5859375,0,0,6,57,1,0,-5.699582109,4.029321856,0,0.461175715,0
0,59.00847397,1.640625,0,0,6,60,0,0,#NAME?,4.07768106,#NAME?,0.495077267,0
0.002561995,39.68224074,2.0234375,0,0,6,73,1,0,-5.966969027,3.680903751,0,0.704797798,0
0.375550009,35.30781527,2.15625,0,0,7,68,1,0,-0.979363637,3.564104335,0,0.768370602,1
0.00141564,15.71157388,0.84375,0,0,7,26,1,0,-6.560173553,2.754397631,0,-0.169899037,1
0.015188519,25.3179778,0.84375,0,0,7,26,1,0,-4.187215465,3.231514728,0,-0.169899037,1
0.005354689,55.60554457,2.1875,0,0,7,69,1,0,-5.229782653,4.018282919,0,0.782759339,1
0.635689148,11.44006435,1.375,0,0,7,43,1,0,-0.453045596,2.437121611,0,0.318453731,1
0.003740336,82.21921916,2.625,0,0,7,83,1,0,-5.588579832,4.409389084,0,0.965080896,1
0.002044635,75.23961722,2.40625,0,0,7,76,1,0,-6.19253599,4.320677917,0,0.878069519,1
0.009014428,17.46072138,0.9375,0,0,7,30,0,0,-4.708928874,2.859953866,#NAME?,-0.064538521,1
0.004764117,11.60489489,0.84375,0,0,7,26,1,0,-5.346643069,2.451426982,0,-0.169899037,1
0.004608777,33.64105712,1.34375,0,0,7,42,1,0,-5.37979275,3.515747259,0,0.295464213,1
0.002632429,16.98260563,1,0,0,7,31,1,0,-5.939848285,2.832189622,0,0,1
0.00528626,9.424824263,0.90625,0,0,7,28,1,0,-5.242644277,2.243347087,0,-0.098440073,1
