curvature,target_class
0,1
0.408535927,1
0.320140563,1
0.008744806,1
0.442421302,1
0.000838617,1
0.003600287,1
0.003874066,1
0.007781944,1
0.011440896,1
0.000189141,1
0.295685779,1
0.001662513,1
0.244685117,1
0.003329928,1
0.180202121,1
0.003006297,1
0.014309808,1
0.181188278,1
0.038829645,1
0.004503373,1
0.383548324,1
0.004566919,1
0.3452711,1
0.007570621,1
0.003439226,1
0.006904554,1
0.01649339,1
0.263059521,1
0.276129035,1
0.043788686,1
0.004735306,1
0.003553963,1
0.005333077,1
0.028027744,1
0.014276068,1
0.067986302,1
0.01166585,1
0.004137207,1
0.002203414,1
0.005893754,1
0.076618114,1
0.006380088,1
0.005311895,1
0.016281243,1
0.002771546,1
0.003525649,1
0.010658675,1
0.002782621,1
0.003412501,1
0.003025012,1
0.012107275,1
0.00632134,1
0.247057402,1
0.018903432,1
0.002003782,1
0.002081937,1
0,1
0,1
0.059905546,1
0.015495655,1
0.012589583,1
0.01866366,1
0.14023625,1
0.344240512,1
0.055385197,1
0.00192402,1
0.016372112,1
0.020270104,1
0,1
0.009352725,1
0.008444399,1
0.0156365,1
0.005081847,1
0.016924734,1
0,1
0.023919923,1
0.032134271,1
0.011221426,1
0.006494863,1
0,1
0.002588753,1
0.007833103,1
0.01758652,1
0.015498089,1
0.007864243,1
0.006478601,1
0.006333604,1
0.199860179,1
0.077482819,1
0.01787613,1
0.265136016,1
0.360033332,1
0.010829429,1
0.01626364,1
0.008922365,1
0.00433739,1
0.371406056,1
0.00940984,1
0.002982834,1
0.005141153,1
0.354655287,1
0.003072484,1
0,1
0.003090319,1
0.361374435,1
0.002238205,1
0.013210045,1
0.015937537,1
0.023420044,1
0.01961557,1
0.008020762,1
0.006064746,1
0.001632573,1
0.375550009,1
0.02406206,1
0.008226095,1
0.004372636,1
0.007167651,1
0.010675944,1
0.281327942,1
0.009031582,1
0.007913741,1
0.012744925,1
0.004008819,1
0.021168352,1
0.003593164,1
