density,target_class
11.42578125,1
4.875,1
13.5859375,1
11.80078125,1
9.1796875,1
17.7734375,1
17.4296875,1
4.4921875,1
18.3046875,1
7.1875,1
24.68359375,1
17.3671875,1
6,1
9.4921875,1
1.71875,1
6.9375,1
12.234375,1
15.671875,1
11.77734375,1
8.3984375,1
7.5703125,1
16.625,1
2.4375,1
10.359375,1
13.296875,1
7.3046875,1
7.875,1
7.046875,1
21.25,1
7.875,1
8.421875,1
12.546875,1
7.8125,1
3.1640625,1
3.828125,1
4.375,1
1.0390625,1
22.8359375,1
1.76171875,1
13.1171875,1
6.90625,1
8.16796875,1
10.6640625,1
11,1
7.125,1
7.625,1
0.796875,1
15.03125,1
15.75,1
11.42578125,1
10.25,1
10.5,1
10.3125,1
9.3515625,1
10,1
0.9375,1
9.1640625,1
4.0625,1
2.03125,1
0.984375,1
9.44921875,1
10.52734375,1
1.7578125,1
3.6328125,1
15.0546875,1
1.40625,1
6.375,1
1.640625,1
1.69921875,1
1.1171875,1
3.0625,1
1.125,1
2.05859375,1
9.984375,1
2.078125,1
4.31640625,1
1.16015625,1
2.5,1
2.89453125,1
2.4609375,1
1.85546875,1
5.15625,1
4.40234375,1
3,1
3.1484375,1
12.09375,1
2.6015625,1
5.375,1
10.3125,1
2.53125,1
3.3515625,1
2.9296875,1
9.5,1
3.1640625,1
10,1
2.65625,1
5.80078125,1
3.26953125,1
7.515625,1
1.01171875,1
2.01953125,1
9.21875,1
1.16015625,1
1.421875,1
1.16015625,1
3.71875,1
14.25390625,1
3.28515625,1
2.4609375,1
4.4921875,1
1.171875,1
11.28125,1
1.6171875,1
3.0078125,1
2.15625,1
4.58984375,1
11.1328125,1
9.609375,1
10.828125,1
6.375,1
25.13671875,1
14.4140625,1
13.609375,1
12.26171875,1
7.4375,1
10,1
6.54296875,1
10,1
12.09375,1
14.0625,1
5.15625,1
2.765625,1
10.78125,1
16.15625,1
6,1
6.31640625,1
7.8046875,1
15.375,1
12.09375,1
7.109375,1
9.6484375,1
1.66015625,1
1.03125,1
1.3828125,1
3.09375,1
14.21875,1
9.6796875,1
2.4609375,1
1.37109375,1
7.21875,1
10.91796875,1
1.21875,1
17.6171875,1
6.09375,1
4.453125,1
10.23046875,1
13.58984375,1
11.37109375,1
23.75,1
8.96875,1
10.359375,1
9.1875,1
7.3671875,1
12.30078125,1
7.96875,1
6.41796875,1
8.59375,1
5.15625,1
11.515625,1
13.9453125,1
9.515625,1
10.65625,1
16.203125,1
18.7890625,1
8.09375,1
11.25,1
6.46875,1
9.515625,1
16.84375,1
22.265625,1
12.33984375,1
12.1875,1
2.9453125,1
9.53125,1
5.046875,1
2.109375,1
9.53125,1
1.21875,1
9.6796875,1
1.25,1
3.046875,1
4.78125,1
8.0078125,1
6.375,1
6.640625,1
