x,y,w,h,distance,class
0,0,38,74,1,LD
0,0,31,38,1,LD
0,0,73,46,1,LD
0,0,56,52,1,LD
0,0,49,46,1,LD
0,0,49,90,1,LD
0,0,45,96,1,LD
0,0,24,45,1,LD
0,0,65,70,1,LD
0,0,39,45,1,LD
0,0,70,89,0,LD
0,0,77,57,0,LD
0,0,15,95,1,LD
0,0,53,44,1,LD
0,0,10,39,1,LD
0,0,23,73,1,LD
0,0,53,57,1,LD
0,0,58,67,1,LD
0,0,44,67,0,LD
0,0,49,43,0,LD
0,0,33,56,1,LD
0,0,55,76,0,LD
0,0,15,38,1,LD
0,0,38,67,1,LD
0,0,73,45,1,LD
0,0,33,54,1,LD
0,0,41,47,1,LD
0,0,43,40,1,LD
0,0,67,80,0,LD
0,0,41,47,1,LD
0,0,48,43,1,LD
0,0,43,72,1,LD
0,0,39,50,0,LD
0,0,17,44,1,LD
0,0,27,34,1,LD
0,0,31,34,1,LD
0,0,13,18,1,LD
0,0,73,79,0,LD
0,0,10,40,1,LD
0,0,45,73,0,LD
0,0,33,51,1,LD
0,0,40,51,0,LD
0,0,64,41,1,LD
0,0,43,63,1,LD
0,0,37,47,1,LD
0,0,31,60,1,LD
0,0,11,16,1,LD
0,0,51,74,0,LD
0,0,41,95,1,LD
0,0,44,64,1,LD
0,0,40,63,1,LD
0,0,31,83,1,LD
0,0,43,59,1,LD
0,0,37,63,0,LD
0,0,39,63,1,LD
0,0,15,14,1,LD
0,0,33,68,1,LD
0,0,15,65,0,LD
0,0,9,51,1,LD
0,0,27,9,0,LD
0,0,40,58,1,LD
0,0,34,76,1,LD
0,0,17,25,0,LD
0,0,30,30,0,LD
0,0,40,93,1,LD
0,0,29,12,0,LD
0,0,33,47,1,LD
0,0,29,14,0,LD
0,0,28,15,0,LD
0,0,10,26,0,LD
0,0,48,16,0,LD
0,0,17,15,1,LD
0,0,30,17,0,LD
0,0,35,70,1,LD
0,0,27,19,0,LD
0,0,16,64,1,LD
0,0,10,26,1,LD
0,0,31,20,0,LD
0,0,18,39,0,LD
0,0,17,35,0,LD
0,0,18,25,0,LD
0,0,32,40,0,LD
0,0,48,23,0,LD
0,0,31,24,0,LD
0,0,30,26,0,LD
0,0,35,85,1,LD
0,0,17,37,0,LD
0,0,31,43,0,LD
0,0,43,59,1,LD
0,0,26,24,0,LD
0,0,32,26,0,LD
0,0,9,74,1,LD
0,0,37,63,1,LD
0,0,17,45,0,LD
0,0,39,63,1,LD
0,0,16,40,0,LD
0,0,32,45,0,LD
0,0,30,27,0,LD
0,0,25,73,1,LD
0,0,6,36,1,LD
0,0,10,46,1,LD
0,0,39,58,1,LD
0,0,10,27,0,LD
0,0,12,28,0,LD
0,0,10,27,0,LD
0,0,33,28,0,LD
0,0,40,88,1,LD
0,0,28,29,0,LD
0,0,20,30,0,LD
0,0,24,45,1,LD
0,0,29,10,0,LD
0,0,37,75,1,LD
0,0,17,23,0,LD
0,0,9,76,1,LD
0,0,7,68,1,LD
0,0,24,46,1,LD
0,0,37,74,1,LD
0,0,40,59,1,LD
0,0,35,76,1,LD
0,0,33,47,1,LD
0,0,64,99,0,LD
0,0,40,89,1,LD
0,0,51,66,1,LD
0,0,42,72,1,LD
0,0,33,55,1,LD
0,0,39,64,0,LD
0,0,24,66,1,LD
0,0,39,63,1,LD
0,0,42,71,1,LD
0,0,49,71,1,LD
0,0,21,59,1,LD
0,0,11,58,1,LD
0,0,39,68,1,LD
0,0,46,87,1,LD
0,0,15,95,1,LD
0,0,32,48,1,LD
0,0,36,53,1,LD
0,0,47,82,0,LD
0,0,42,71,1,LD
0,0,27,64,1,LD
0,0,37,64,1,LD
0,0,4,84,1,LD
0,0,5,43,1,LD
0,0,5,58,1,LD
0,0,8,87,1,LD
0,0,51,69,1,LD
0,0,41,58,1,LD
0,0,6,89,1,LD
0,0,8,38,1,LD
0,0,27,65,1,LD
0,0,42,64,1,LD
0,0,11,25,1,LD
0,0,54,82,0,LD
0,0,38,39,1,LD
0,0,29,37,1,LD
0,0,26,96,1,LD
0,0,48,70,1,LD
0,0,40,70,1,LD
0,0,75,79,1,LD
0,0,40,55,1,LD
0,0,38,68,0,LD
0,0,41,56,0,LD
0,0,40,45,1,LD
0,0,46,67,0,LD
0,0,39,50,1,LD
0,0,30,52,1,LD
0,0,39,54,1,LD
0,0,21,59,1,LD
0,0,43,66,1,LD
0,0,41,84,1,LD
0,0,28,83,1,LD
0,0,43,62,0,LD
0,0,60,68,0,LD
0,0,73,65,0,LD
0,0,36,55,1,LD
0,0,39,71,1,LD
0,0,35,45,1,LD
0,0,41,57,1,LD
0,0,55,77,0,LD
0,0,59,94,1,LD
0,0,38,81,0,LD
0,0,47,64,1,LD
0,0,25,29,0,LD
0,0,39,61,0,LD
0,0,37,34,0,LD
0,0,9,53,1,LD
0,0,39,60,1,LD
0,0,25,11,1,LD
0,0,41,59,0,LD
0,0,31,9,1,LD
0,0,14,52,0,LD
0,0,33,36,0,LD
0,0,49,40,1,LD
0,0,33,47,1,LD
0,0,33,49,1,LD
0,0,38,45,0,LD
0,0,28,49,1,LD
0,0,39,53,0,LD
0,0,55,72,0,LD
0,0,55,55,1,LD
0,0,55,76,0,LD
0,0,37,68,1,LD
0,0,31,24,1,LD
0,0,28,60,1,LD
0,0,44,35,1,LD
0,0,43,58,0,LD
0,0,12,44,1,LD
0,0,32,55,0,LD
0,0,36,53,0,LD
0,0,35,58,0,LD
0,0,27,49,1,LD
0,0,34,46,0,LD
0,0,42,64,0,LD
0,0,30,44,1,LD
0,0,72,5,1,LD
0,0,56,4,0,LD
0,0,54,71,0,LD
0,0,42,52,1,LD
0,0,44,59,1,LD
0,0,37,7,1,LD
0,0,67,3,0,LD
0,0,29,37,1,LD
0,0,70,45,1,LD
0,0,45,31,1,LD
0,0,37,36,0,LD
0,0,32,48,0,LD
0,0,9,43,1,LD
0,0,13,60,1,LD
0,0,26,63,0,LD
0,0,29,48,0,LD
0,0,41,70,0,LD
0,0,35,66,0,LD
0,0,33,51,1,LD
0,0,31,55,0,LD
0,0,26,53,1,LD
0,0,43,58,1,LD
0,0,35,61,0,LD
0,0,39,64,1,LD
0,0,26,9,1,LD
0,0,37,52,1,LD
0,0,32,8,1,LD
0,0,61,56,0,LD
0,0,55,63,1,LD
0,0,63,53,1,LD
0,0,24,52,1,LD
0,0,37,6,1,LD
0,0,76,5,0,LD
0,0,74,93,1,LD
0,0,28,45,0,LD
0,0,28,43,1,LD
0,0,29,43,0,LD
0,0,30,8,1,LD
0,0,31,8,1,LD
0,0,58,79,1,LD
0,0,8,58,0,LD
0,0,61,71,0,LD
0,0,48,60,0,LD
0,0,31,60,1,LD
0,0,47,71,0,LD
0,0,47,57,1,LD
0,0,35,55,1,LD
0,0,71,82,0,LD
0,0,33,85,0,LD
0,0,38,48,1,LD
0,0,16,14,0,LD
0,0,31,53,1,LD
0,0,29,9,0,LD
0,0,26,57,1,LD
0,0,21,12,1,LD
0,0,39,51,0,LD
0,0,41,44,0,LD
0,0,50,35,1,LD
0,0,31,6,1,LD
0,0,23,8,1,LD
0,0,52,70,0,LD
0,0,35,53,1,LD
0,0,24,35,0,LD
0,0,48,46,1,LD
0,0,50,50,0,LD
0,0,57,82,0,LD
0,0,51,12,1,LD
0,0,49,93,0,LD
0,0,72,54,1,LD
0,0,51,53,0,LD
0,0,43,10,1,LD
0,0,55,64,1,LD
0,0,47,51,0,LD
0,0,59,58,0,LD
0,0,32,12,1,LD
0,0,48,69,1,LD
0,0,38,16,1,LD
0,0,56,93,0,LD
0,0,47,19,1,LD
0,0,32,53,1,LD
0,0,37,13,1,LD
0,0,40,13,1,LD
0,0,18,55,1,LD
0,0,58,67,0,LD
0,0,32,18,1,LD
0,0,35,55,1,LD
0,0,43,14,1,LD
0,0,59,65,1,LD
0,0,42,15,1,LD
0,0,69,46,1,LD
0,0,18,20,1,LD
0,0,23,10,1,LD
0,0,50,74,1,LD
0,0,38,13,1,LD
0,0,46,7,0,LD
0,0,49,49,1,LD
0,0,38,57,0,LD
0,0,35,9,1,LD
0,0,40,58,1,LD
0,0,14,91,0,LD
0,0,65,22,1,LD
0,0,52,85,1,LD
0,0,49,45,0,LD
0,0,36,29,1,LD
0,0,19,39,1,LD
0,0,20,41,1,LD
0,0,11,46,1,LD
0,0,31,44,0,LD
0,0,14,50,1,LD
0,0,25,36,1,LD
0,0,30,89,1,LD
0,0,54,60,1,LD
0,0,45,92,1,LD
0,0,50,92,1,LD
0,0,52,4,1,LD
0,0,14,16,0,LD
0,0,33,63,1,LD
0,0,59,65,1,LD
0,0,53,57,1,LD
0,0,23,78,0,LD
0,0,38,74,1,LD
0,0,13,23,1,LD
0,0,26,8,1,LD
0,0,9,47,1,LD
0,0,12,17,1,LD
0,0,7,26,1,LD
0,0,15,14,0,LD
0,0,23,17,1,LD
0,0,9,21,1,LD
0,0,40,88,1,LD
0,0,58,9,1,LD
0,0,11,34,1,LD
0,0,71,64,0,LD
0,0,27,46,1,LD
0,0,6,66,1,LD
0,0,50,39,1,LD
0,0,15,20,1,LD
0,0,20,15,1,LD
0,0,48,10,1,LD
0,0,17,16,1,LD
0,0,26,48,1,LD
0,0,34,24,0,LD
0,0,40,86,1,LD
0,0,20,11,1,LD
0,0,35,69,1,LD
0,0,26,8,1,LD
0,0,53,61,1,LD
0,0,36,87,1,LD
0,0,41,24,0,LD
0,0,33,5,1,LD
0,0,25,58,1,LD
0,0,44,87,1,LD
0,0,18,13,1,LD
0,0,6,87,1,LD
0,0,36,53,1,LD
0,0,29,54,1,LD
0,0,32,9,1,LD
0,0,12,36,1,LD
0,0,11,18,1,LD
0,0,41,49,1,LD
0,0,38,58,0,LD
0,0,44,59,1,LD
0,0,41,75,1,LD
