curvature,strokewidth,density,x,y,w,h,distance,letterReversal,class
0,,0.984375,0,0,3,63,0,0,1
0.000376101,62.00793601,1.015625,0,0,3,64,1,0,1
0.283454175,35.06503301,1.359375,0,0,3,86,1,,0
0.000936383,82.02409289,1.66015625,0,0,4,84,1,0,1
0.001386996,44.04442252,0.91796875,0,0,4,46,1,0,1
0,0,0.87890625,0,0,4,45,0,0,1
0.289740612,23.02221126,0.91796875,0,0,4,46,1,,0
0.000586783,19.10594231,1.03125,0,0,5,43,1,0,1
0.000589047,39.05844838,1.3828125,0,0,5,58,1,0,1
0.002450466,31.01562119,0.796875,0,0,5,33,1,0,1
0.002861675,34.05877273,0.84375,0,0,5,35,1,0,1
0,49.09175083,1.171875,0,0,5,50,0,0,1
0.000888124,38.588714,1.1015625,0,0,5,46,1,0,1
0.001220478,49.16299421,1.1953125,0,0,5,50,1,0,1
0,26.12444226,0.9140625,0,0,5,38,1,0,1
0,0,1.453125,0,0,5,62,0,0,1
0.022458837,14.81588698,0.984375,0,0,5,42,0,0,1
0.008389552,29.60462719,1.125,0,0,5,47,1,0,1
0,25.57980287,1.2421875,0,0,5,53,0,0,1
0.0048344,18.14658213,0.8671875,0,0,5,36,1,0,1
0,16.56928715,0.84375,0,0,5,36,0,1,1
0.250877413,17.91013599,0.8671875,0,0,5,36,1,,0
0,39.05124838,0.9609375,0,0,5,40,1,,0
0.001047538,43.51333096,1.8046875,0,0,5,76,1,,0
0,74.00675645,1.8515625,0,0,5,78,1,,0
0.28985506,27.38898133,1.9453125,0,0,5,82,1,,0
0.001909934,40.57637182,1.96875,0,0,5,83,1,,0
0.002982834,35.22782991,1.01171875,0,0,6,36,1,0,1
0.011847627,87.02272434,2.4609375,0,0,6,89,1,0,1
0.027245735,25.74382387,1.83203125,0,0,6,66,1,0,1
0.004656006,62.07902231,2.40625,0,0,6,87,1,0,1
0.210496496,41.53844886,2.078125,0,0,6,75,1,0,1
0.001901736,37.33630941,1.06640625,0,0,6,38,1,0,1
0.000478951,30.06659276,0.875,0,0,6,31,1,0,1
0.001564025,33.50806242,1.01171875,0,0,6,37,0,0,1
0.004718362,31.69953946,1.09375,0,0,6,40,0,0,1
0,26.51892173,0.79296875,0,0,6,29,0,0,1
0.001732868,28.01785145,0.8203125,0,0,6,29,1,0,1
0.00514461,25.5849037,0.90234375,0,0,6,32,1,0,1
0,24.0208243,1.33984375,0,0,6,49,0,0,1
0.27351636,15.71491737,0.9296875,0,0,6,33,1,0,1
0.003832278,30.14962686,0.875,0,0,6,31,1,0,1
0,20.13804161,1.23046875,0,0,6,44,1,0,1
0,32.51538098,1.8046875,0,0,6,66,0,0,1
0.000415133,47.09564736,1.33984375,0,0,6,48,1,0,1
0,18.70048536,1.06640625,0,0,6,38,1,0,1
0.048274901,12.90674965,1.0390625,0,0,6,37,1,0,1
0.000761208,22.73615584,0.8203125,0,0,6,29,1,0,1
0.182801756,28.59043892,2.40625,0,0,6,87,1,1,1
0.000742228,29.06888371,0.84765625,0,0,6,30,1,1,1
0,35.00675552,1.0390625,0,0,6,38,0,1,1
0,23.72272866,1.23046875,0,0,6,45,0,1,1
0.179670697,0.207106781,1.640625,0,0,6,60,0,1,1
0.000785756,66.06814664,1.859375,0,0,6,67,1,1,1
0.001407331,48.16637832,1.3671875,0,0,6,49,1,,1
0.000253802,52.08646657,1.4765625,0,0,6,53,1,,1
0.00097943,29.07374964,1.0390625,0,0,6,37,1,,1
0.011554703,30.41381265,0.875,0,0,6,31,1,,1
