curvature,strokewidth,density,x,y,w,h,distance,class
0.389582308,46.49752125,104.625,,,,,,1
0.366253436,53.09530632,154.5585938,,,,,,1
0.072610105,71.3242268,59.47265625,0,0,93,105,0,1
0.000189141,47.1009554,25.03125,0,0,70,89,0,1
0.296046497,66.02920468,68.140625,162,0,14,94,4,1
0.412435122,60.9491708,78.4921875,0,0,113,102,0,1
0.16569662,53.4157993,158.078125,38,0,33,111,23,1
0.038829645,31.76325571,8.56640625,0,0,49,43,0,1
0.360494442,47.51576077,117.140625,138,0,37,67,35,1
0.321798007,46.07122771,50.63671875,0,0,41,47,40,1
0.165638507,42.58776382,57.234375,117,0,43,72,2,1
0.100660833,28.93060418,70.05078125,,,,,,1
0.003542428,29.71915208,35.359375,,,,,,1
0.013173121,43.73153221,53.4921875,122,0,43,63,19,1
0.271226822,47.19177261,74.6796875,0,0,50,121,0,1
0.005291406,57.16690379,80.4296875,0,0,89,104,41,1
0.169121135,64.44348323,195.25,0,0,41,95,47,1
0.269118522,50.8785897,120.9375,,,,,,1
0.08203646,44.8426811,59.87109375,,,,,,1
0.157734337,38.97385688,1028.765625,,,,,,1
0.241470589,63.11730573,250.6875,66,0,6,68,123,1
0.087196814,57.72569146,103.6445313,0,0,39,89,80,1
0.17404655,70.77942133,166.03125,0,0,74,113,25,1
0.242185999,56.34782294,264.046875,,,,,,1
0.342417002,51.66686757,204.7617188,50,0,15,94,79,1
0.002452315,121.7456559,25.828125,0,0,56,114,0,1
0.100843768,52.67874029,42.6015625,0,0,47,82,0,1
0.003694005,66.73887594,85.78125,66,0,5,43,140,1
0.000494037,117.1497108,21.66796875,0,0,41,128,1,1
0.040236558,89.41582593,25.390625,0,0,48,130,0,1
0.00340861,77.82903088,141.7109375,59,0,8,87,100,1
0.256256288,46.0475575,155.7226563,168,0,6,37,82,1
0.111845136,63.41445456,202.3515625,9,0,55,96,22,1
0.238517972,52.70850483,81.76953125,,,,,,1
0.122164298,57.95824023,167.9414063,0,0,60,153,0,1
0.272009927,56.63643249,37.609375,0,0,81,116,0,1
0.123107527,40.01721985,195.46875,184,0,39,136,3,1
0.224317013,54.31470899,100.1992188,93,0,39,105,8,1
0.076220775,63.69577776,94.5,155,0,59,94,18,1
0.102492703,62.66179955,79.109375,111,0,53,106,16,1
0.016769813,60.52256624,27.34375,0,0,68,100,0,1
0.003485285,25.24113924,13.3671875,,,,,,1
0.006223051,42.45452721,9.76953125,0,0,39,61,0,1
0.239056918,40.7876337,32.64453125,96,0,39,59,2,1
0.360907885,37.71669007,19.12890625,40,0,41,59,0,1
0.002747845,44.98325976,10.15625,34,0,14,52,0,1
0.316795237,26.77787512,45.53125,153,0,33,49,13,1
0.369560382,26.91393512,19.1953125,,,,,,1
0.489080959,25.93897327,8.48828125,0,0,39,53,0,1
0.237259269,49.14412457,32.90625,0,0,55,72,0,1
0.44842406,41.09957707,30.28125,0,0,55,76,0,1
0.182046151,33.08265042,55.09765625,,,,,,1
0.164522392,41.87359722,27.71484375,32,0,32,55,0,1
0.499955041,31.91997011,33.3046875,,,,,,1
0.000871295,44.38282355,10.75,0,0,41,64,0,1
0.107562754,26.6603319,34.58984375,,,,,,1
0.386059262,38.96653399,36.0546875,,,,,,1
0.002575658,50.3129203,28.41796875,,,,,,1
0.205191849,36.68269986,53.515625,,,,,,1
0.007918543,41.96776189,13.078125,54,0,37,36,0,1
0.194324222,31.46908155,12.94921875,54,0,9,43,8,1
0.432365143,28.42380762,31.0078125,,,,,,1
0.370949955,28.72311561,35.21875,85,0,97,46,3,1
0.303939967,40.36066905,11.7578125,0,0,41,70,0,1
0.454667445,31.11197992,22.84375,51,0,33,51,17,1
0.005211178,39.40525622,20.5078125,47,0,26,53,17,1
0.003833919,45.23328815,20.5,0,0,43,57,7,1
0.350752854,47.78966595,23.203125,0,0,88,66,0,1
0.323769026,46.67046946,35.8359375,98,0,39,63,3,1
0.371593466,44.52680742,25.9140625,46,0,37,52,10,1
0.415999104,41.76607753,39.5,101,0,55,63,1,1
0.222560234,70.66205981,48.7109375,0,0,143,86,0,1
0.25761466,33.35593695,58.390625,,,,,,1
0.031595768,31.4424211,33,53,0,27,42,6,1
