curvature,strokewidth,density,x,y,w,h,distance,curvature_LogValue,strokewidth_LogValue,distance_LogValue,density_LogValue,class
0.072610105,71.3242268,59.47265625,0,0,93,105,0,-2.62265118,4.267236057,#NAME?,4.085516648,1
0.000189141,47.1009554,25.03125,0,0,70,89,0,-8.573017789,3.852293285,#NAME?,3.220125044,1
0.296046497,66.02920468,68.140625,162,0,14,94,4,-1.217238753,4.190097139,1.386294361,4.221573584,1
0.412435122,60.9491708,78.4921875,0,0,113,102,0,-0.885676366,4.110040251,#NAME?,4.362999098,1
0.16569662,53.4157993,158.078125,38,0,33,111,23,-1.797596753,3.978106569,3.135494216,5.063089373,1
0.038829645,31.76325571,8.56640625,0,0,49,43,0,-3.248571278,3.458310141,#NAME?,2.147848304,1
0.360494442,47.51576077,117.140625,138,0,37,67,35,-1.02027874,3.861061462,3.555348061,4.763375136,1
0.321798007,46.07122771,50.63671875,0,0,41,47,40,-1.133831238,3.830188627,3.688879454,3.92467698,1
0.165638507,42.58776382,57.234375,117,0,43,72,2,-1.797947534,3.751566978,0.693147181,4.047154679,1
0.013173121,43.73153221,53.4921875,122,0,43,63,19,-4.329576813,3.778069403,2.944438979,3.979535615,1
0.271226822,47.19177261,74.6796875,0,0,50,121,0,-1.304799827,3.854219568,#NAME?,4.313208134,1
0.005291406,57.16690379,80.4296875,0,0,89,104,41,-5.241671284,4.045975126,3.713572067,4.387383356,1
0.169121135,64.44348323,195.25,0,0,41,95,47,-1.777140046,4.165788611,3.850147602,5.274280789,1
0.241470589,63.11730573,250.6875,66,0,6,68,123,-1.421007598,4.144994991,4.812184355,5.524207144,1
0.087196814,57.72569146,103.6445313,0,0,39,89,80,-2.439587485,4.055702334,4.382026635,4.640967076,1
0.17404655,70.77942133,166.03125,0,0,74,113,25,-1.748432487,4.259568299,3.218875825,5.112176024,1
0.342417002,51.66686757,204.7617188,50,0,15,94,79,-1.071725981,3.944816717,4.369447852,5.321846956,1
0.002452315,121.7456559,25.828125,0,0,56,114,0,-6.010722803,4.801934081,#NAME?,3.251464014,1
0.100843768,52.67874029,42.6015625,0,0,47,82,0,-2.294182811,3.964211964,#NAME?,3.751890931,1
