x,y,w,h,distance,class
0,0,93,105,0,LD
0,0,70,89,0,LD
162,0,14,94,4,LD
0,0,113,102,0,LD
38,0,33,111,23,LD
0,0,49,43,0,LD
138,0,37,67,35,LD
0,0,41,47,40,LD
117,0,43,72,2,LD
122,0,43,63,19,LD
0,0,50,121,0,LD
0,0,89,104,41,LD
0,0,41,95,47,LD
66,0,6,68,123,LD
0,0,39,89,80,LD
0,0,74,113,25,LD
50,0,15,94,79,LD
0,0,56,114,0,LD
0,0,47,82,0,LD
66,0,5,43,140,LD
0,0,41,128,1,LD
0,0,48,130,0,LD
59,0,8,87,100,LD
168,0,6,37,82,LD
9,0,55,96,22,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,60,153,0,LD
0,0,81,116,0,LD
184,0,39,136,3,LD
93,0,39,105,8,LD
155,0,59,94,18,LD
111,0,53,106,16,LD
0,0,68,100,0,LD
0,0,39,61,0,LD
96,0,39,59,2,LD
40,0,41,59,0,LD
34,0,14,52,0,LD
153,0,33,49,13,LD
,,,,,
0,0,39,53,0,LD
0,0,55,72,0,LD
0,0,55,76,0,LD
,,,,,
32,0,32,55,0,LD
,,,,,
,,,,,
0,0,41,64,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
54,0,37,36,0,LD
54,0,9,43,8,LD
,,,,,
85,0,97,46,3,LD
0,0,41,70,0,LD
51,0,33,51,17,LD
47,0,26,53,17,LD
0,0,43,57,7,LD
0,0,88,66,0,LD
98,0,39,63,3,LD
46,0,37,52,10,LD
101,0,55,63,1,LD
0,0,143,86,0,LD
,,,,,
53,0,27,42,6,LD
0,0,58,79,61,LD
0,0,61,71,0,LD
0,0,48,103,0,LD
72,0,31,60,18,LD
0,0,47,71,0,LD
,,,,,
174,0,26,57,38,LD
0,0,39,50,1,LD
0,0,52,70,0,LD
35,0,48,46,9,LD
0,0,50,50,0,LD
0,0,57,82,0,LD
,,,,,
151,0,55,64,26,LD
14,0,47,51,0,LD
208,0,48,68,3,LD
328,0,18,54,54,LD
24,0,10,7,76,LD
0,0,65,115,0,LD
116,0,40,58,8,LD
119,0,52,85,16,LD
0,0,49,45,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,41,101,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,29,33,70,LD
,,,,,
,,,,,
,,,,,
0,0,42,59,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,49,72,33,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,48,126,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,11,17,12,LD
39,0,18,34,5,LD
,,,,,
0,0,14,26,18,LD
26,0,17,29,9,LD
0,0,17,23,10,LD
,,,,,
,,,,,
12,0,19,24,1,LD
5,0,138,29,4,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,112,29,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,162,27,0,LD
,,,,,
,,,,,
0,0,10,19,3,LD
27,0,13,19,11,LD
,,,,,
,,,,,
,,,,,
0,0,9,17,5,LD
49,0,15,22,0,LD
49,0,15,22,0,LD
,,,,,
,,,,,
27,0,7,17,8,LD
,,,,,
,,,,,
0,0,169,25,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
0,0,108,29,0,LD
,,,,,
0,0,156,22,0,LD
0,0,156,29,0,LD
0,0,158,27,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,65,52,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,32,59,19,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,39,29,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
42,0,15,7,60,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31,0,30,56,0,LD
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
