curvature,strokewidth,density,x,y,w,h,distance,class
0.241528145,24.67792857,24.890625,173,42,73,46,34,0
0.012035913,24.19365492,17.625,50,34,31,38,18,0
0.254838897,19.33145459,16.765625,65,30,95,78,54,0
0.079331523,32.37624308,37.2890625,0,0,38,73,19,0
0.377556383,17.0579156,2.625,190,104,9,5,55,0
0.223266829,17.07497714,19.3359375,262,46,23,43,35,0
0.112197397,25.43748066,39.71875,17,41,56,50,37,0
0.094129641,29.00595562,10.25,81,37,49,45,28,0
0.210357785,23.33488363,49.95703125,282,19,8,10,25,0
0.382563172,20.06529351,41.8671875,187,7,45,95,48,0
0.008469629,23.05306526,31.85546875,297,3,64,69,18,0
0.190129009,17.69987028,14.734375,138,0,49,89,35,0
0.004095397,32.38319789,42.75390625,104,50,39,45,43,0
0.006587746,17.14913372,25.875,0,0,93,105,53,0
0.122711559,21.33597103,9.203125,0,0,70,89,45,0
0.231324199,29.17843107,25.3046875,82,41,77,57,49,0
0.015273933,36.25333223,27.38671875,0,24,82,64,39,0
0.205194598,27.35698466,66.71875,162,0,14,94,45,0
0.242414181,25.35720058,53.25,142,49,53,44,42,0
0.168706528,20.63105621,23.92578125,0,0,113,102,51,0
0.113790539,21.96796157,36.640625,20,78,10,10,21,0
0.295401462,34.18793,14.73828125,256,67,44,67,67,0
0.228134358,23.96294532,180.375,181,51,58,66,50,0
0.00291893,30.55717051,67.2421875,0,47,10,39,19,0
0.007013542,37.51966336,35.03125,127,45,51,55,33,0
0.30113795,29.01473569,50.2421875,94,38,22,71,42,0
0.309292912,37.34152263,79.40625,38,0,33,111,44,0
0.315844429,36.08066149,3.875,0,0,49,43,22,0
0.001908182,53.36666993,20.5234375,105,40,13,36,25,0
0.439776337,32.13904629,63.984375,260,30,32,52,31,0
0.054107465,44.38558074,7.734375,188,27,73,43,19,0
0.453801299,29.12425753,15.203125,35,27,53,75,51,0
0.001568791,43.54399504,23.91796875,0,17,33,56,22,0
0.21088619,53.79053168,27.5,122,5,7,22,24,0
0.378958189,37.22525032,48.5390625,138,0,37,67,16,0
0.005750296,21.05645981,16.796875,34,12,43,40,9,0
0.006435847,41.29155888,54.5625,80,7,67,80,44,0
0.117622814,27.26212927,26.5625,0,0,41,47,4,0
0.276985456,30.58427904,9.5703125,157,24,39,50,37,0
0.414703208,26.73767939,55.0703125,52,20,48,42,25,0
0.003788072,53.10931424,33.6328125,0,19,41,47,29,0
0.374473879,27.05805785,90.87890625,117,0,43,72,35,0
0.008421478,38.76480498,33.5390625,120,57,13,16,34,0
0.00271057,38.4429547,10.75,26,44,27,34,39,0
0.297206481,34.10051161,2.42578125,78,41,31,34,36,0
0.272885956,22.99906229,8.98828125,5,35,17,43,39,0
0.25011539,29.26445007,9.609375,152,0,73,79,40,0
0.561621766,29.94151483,54.6875,0,9,10,39,12,0
0.125136977,31.55481633,19.6875,89,7,33,50,21,0
0.301645728,20.12046228,2.44140625,31,5,5,7,24,0
0.012844874,26.3354463,7.65625,15,0,45,73,37,0
0.450259759,36.31453787,25.46484375,53,35,63,40,34,0
0.019009587,36.5371016,86.47265625,0,31,40,51,41,0
0.008718864,37.71756834,36.38671875,122,0,43,63,22,0
0.29310806,25.35201806,41.1484375,145,79,11,16,35,0
0.003800234,43.12843487,14.421875,53,60,37,47,47,0
0.39675861,32.78225735,19.98828125,95,41,31,59,40,0
0.256428962,29.15326531,19.3125,0,0,50,121,61,0
0.601145572,24.32468257,4.7734375,89,72,51,73,73,0
0.426548952,31.22621805,38.55078125,0,0,89,104,32,0
0.396421281,33.90159898,23.4375,62,41,43,62,32,0
0.526341526,32.48787716,8.125,230,35,120,107,71,0
0.084557525,30.254849,22.93359375,121,30,40,61,20,0
0.153705303,40.51871154,10.83984375,173,4,39,106,39,0
0.277083619,27.915548,12.9609375,0,0,41,95,24,0
0.012422123,28.50227919,10.7421875,145,67,37,62,65,0
0.032802942,26.27083109,19.09375,199,63,39,62,61,0
0.299739284,24.33044314,15.80859375,55,62,43,59,57,0
0.300309047,27.09745272,70.3125,0,45,31,83,64,0
0.256119382,24.35958258,5.77734375,90,0,38,117,53,0
0.044077249,33.93837784,7.94921875,0,62,15,14,18,0
0.246210103,28.09530651,7.52734375,114,53,15,63,58,0
0.076067913,35.19365923,32.16796875,61,48,33,68,58,0
0.159928279,31.72089965,43.875,13,18,2,33,7,0
0.179756822,28.09708731,13.86328125,17,0,26,104,46,0
0.228068876,27.44324706,46.19140625,125,195,27,9,102,0
0.232619494,31.68662263,31.171875,67,194,29,10,102,0
0.264041791,27.12151771,40.87890625,241,192,29,12,102,0
0.204677193,29.80542793,10.83203125,299,190,29,14,102,0
