x,y,w,h,Distance Bottom,Distance Top,area,Target Class
212,95,11,7,43.0,52.0,14.0,LD
350,87,10,3,31.0,56.0,11.5,LD
173,84,35,6,31.0,53.0,59.0,LD
75,78,60,20,39.0,39.0,136.5,LD
0,78,71,10,29.0,49.0,139.0,LD
200,65,7,10,16.0,49.0,25.0,LD
60,65,7,11,17.0,48.0,19.5,LD
349,64,15,20,25.0,39.0,57.0,LD
200,51,34,12,4.0,47.0,124.0,LD
130,38,15,24,3.0,35.0,119.5,LD
63,37,45,22,0.0,37.0,181.5,LD
344,36,40,27,4.0,32.0,128.0,LD
139,30,40,71,42.0,12.0,231.0,LD
210,24,121,84,49.0,25.0,577.0,LD
271,14,11,50,5.0,9.0,173.5,LD
98,14,7,8,37.0,51.0,14.0,LD
271,9,8,4,46.0,55.0,14.0,LD
96,3,7,9,47.0,50.0,20.5,LD
160,57,8,20,24.0,33.0,28.0,LD
105,52,11,34,33.0,19.0,118.5,LD
114,33,71,63,43.0,10.0,403.5,LD
165,32,22,41,20.0,12.0,212.5,LD
8,0,40,86,33.0,33.0,457.5,LD
39,104,7,6,48.0,56.0,12.5,LD
24,100,11,11,49.0,51.0,37.0,LD
111,92,16,15,45.0,47.0,59.0,LD
63,92,20,13,43.0,49.0,46.0,LD
21,92,6,7,37.0,55.0,21.5,LD
179,91,34,24,53.0,38.0,156.0,LD
96,81,31,10,29.0,52.0,46.5,LD
56,69,11,19,26.0,43.0,50.5,LD
18,50,42,38,26.0,24.0,274.0,LD
177,41,26,47,26.0,15.0,359.5,LD
109,2,62,108,48.0,46.0,776.0,LD
4,94,10,5,37.0,57.0,20.0,LD
50,93,26,7,38.0,55.0,76.5,LD
110,92,15,6,36.0,56.0,38.5,LD
191,91,40,24,53.0,38.0,189.0,LD
144,91,12,5,34.0,57.0,14.5,LD
426,87,8,6,31.0,56.0,20.0,LD
0,73,7,16,27.0,46.0,31.0,LD
137,70,12,18,26.0,44.0,71.0,LD
0,38,30,6,18.0,56.0,60.5,LD
419,28,24,56,22.0,6.0,263.0,LD
98,28,45,60,26.0,2.0,539.5,LD
44,22,34,67,27.0,5.0,780.5,LD
323,20,82,87,45.0,25.0,1424.0,LD
464,6,9,8,48.0,54.0,28.0,LD
18,4,19,10,48.0,52.0,49.5,LD
180,2,32,86,26.0,24.0,402.5,LD
200,1,129,109,48.0,47.0,922.5,LD
214,95,10,15,50.0,45.0,89.0,LD
173,95,9,11,46.0,49.0,49.0,LD
59,95,4,6,41.0,54.0,11.0,LD
6,95,15,11,46.0,49.0,36.5,LD
123,94,32,9,43.0,51.0,124.0,LD
92,94,10,17,51.0,43.0,83.5,LD
3,85,7,5,30.0,55.0,17.0,LD
66,72,3,18,30.0,42.0,16.0,LD
2,72,7,11,23.0,49.0,39.5,LD
168,57,11,34,31.0,26.0,140.0,LD
210,43,40,48,31.0,12.0,463.0,LD
66,38,34,52,30.0,8.0,317.0,LD
118,37,29,54,31.0,6.0,691.5,LD
174,25,10,16,19.0,44.0,69.0,LD
59,24,4,66,30.0,6.0,140.0,LD
0,5,39,66,11.0,6.0,378.5,LD
105,71,6,7,34.0,37.0,19.0,LD
126,49,29,9,14.0,35.0,80.5,LD
96,31,16,37,24.0,7.0,119.0,LD
127,11,33,36,3.0,8.0,215.5,LD
9,7,4,8,29.0,36.0,10.5,LD
66,0,25,63,19.0,19.0,326.0,LD
53,0,8,9,35.0,35.0,16.0,LD
11,0,20,68,24.0,24.0,301.5,LD
340,97,12,13,50.0,47.0,35.0,LD
237,96,27,7,43.0,53.0,50.5,LD
0,96,16,5,41.0,55.0,48.0,LD
283,45,15,39,24.0,21.0,161.5,LD
386,42,24,50,32.0,10.0,176.0,LD
543,39,12,43,22.0,17.0,180.0,LD
164,33,21,59,32.0,1.0,191.0,LD
0,31,28,61,32.0,1.0,198.0,LD
411,30,8,62,32.0,2.0,160.5,LD
184,28,20,75,43.0,15.0,331.0,LD
97,28,54,64,32.0,4.0,1526.0,LD
