x,y,w,h,Distance Bottom,Distance Top,area,Target Class
173,42,73,46,34.0,8.0,1439.5,LD
50,34,31,38,18.0,16.0,753.0,LD
65,30,95,78,54.0,24.0,2154.0,LD
0,0,38,73,19.0,19.0,614.0,LD
190,104,9,5,55.0,49.0,27.5,LD
262,46,23,43,35.0,11.0,267.5,LD
17,41,56,50,37.0,4.0,524.5,LD
81,37,49,45,28.0,9.0,1234.5,LD
282,19,8,10,25.0,44.0,52.5,LD
187,7,45,95,48.0,41.0,1275.5,LD
297,3,64,69,18.0,15.0,900.5,LD
138,0,49,89,35.0,35.0,1079.5,LD
104,50,39,45,43.0,7.0,555.5,LD
0,0,93,105,53.0,53.0,1828.0,LD
0,0,70,89,45.0,45.0,869.5,LD
82,41,77,57,49.0,8.0,1612.0,LD
0,24,82,64,39.0,15.0,972.0,LD
162,0,14,94,45.0,45.0,480.0,LD
142,49,53,44,42.0,7.0,1734.0,LD
0,0,113,102,51.0,51.0,2118.0,LD
20,78,10,10,21.0,57.0,65.0,LD
256,67,44,67,67.0,0.0,930.5,LD
181,51,58,66,50.0,1.0,997.5,LD
0,47,10,39,19.0,28.0,212.5,LD
127,45,51,55,33.0,12.0,444.0,LD
94,38,22,71,42.0,4.0,473.5,LD
38,0,33,111,44.0,44.0,733.5,LD
0,0,49,43,22.0,22.0,513.0,LD
105,40,13,36,25.0,15.0,71.0,LD
260,30,32,52,31.0,1.0,340.5,LD
188,27,73,43,19.0,8.0,902.0,LD
35,27,53,75,51.0,24.0,1194.0,LD
0,17,33,56,22.0,5.0,358.5,LD
122,5,7,22,24.0,29.0,91.5,LD
138,0,37,67,16.0,16.0,861.5,LD
34,12,43,40,9.0,3.0,892.0,LD
80,7,67,80,44.0,37.0,1240.5,LD
0,0,41,47,4.0,4.0,296.0,LD
157,24,39,50,37.0,13.0,458.0,LD
52,20,48,42,25.0,5.0,573.5,LD
0,19,41,47,29.0,10.0,528.0,LD
117,0,43,72,35.0,35.0,645.0,LD
120,57,13,16,34.0,23.0,75.0,LD
26,44,27,34,39.0,5.0,238.0,LD
78,41,31,34,36.0,5.0,521.5,LD
5,35,17,43,39.0,4.0,198.0,LD
152,0,73,79,40.0,40.0,888.0,LD
0,9,10,39,12.0,3.0,128.0,LD
89,7,33,50,21.0,14.0,346.0,LD
31,5,5,7,24.0,29.0,13.0,LD
15,0,45,73,37.0,37.0,735.5,LD
53,35,63,40,34.0,1.0,537.5,LD
0,31,40,51,41.0,10.0,360.0,LD
122,0,43,63,22.0,22.0,517.0,LD
145,79,11,16,35.0,44.0,71.5,LD
53,60,37,47,47.0,13.0,726.5,LD
95,41,31,59,40.0,1.0,448.0,LD
0,0,50,121,61.0,61.0,1567.0,LD
89,72,51,73,73.0,1.0,694.0,LD
0,0,89,104,32.0,32.0,1798.5,LD
62,41,43,62,32.0,9.0,774.0,LD
230,35,120,107,71.0,36.0,2687.0,LD
121,30,40,61,20.0,10.0,561.5,LD
173,4,39,106,39.0,35.0,1716.5,LD
0,0,41,95,24.0,24.0,664.0,LD
145,67,37,62,65.0,2.0,1443.5,LD
199,63,39,62,61.0,2.0,546.0,LD
55,62,43,59,57.0,5.0,1422.5,LD
0,45,31,83,64.0,19.0,750.5,LD
90,0,38,117,53.0,53.0,1008.5,LD
0,62,15,14,18.0,44.0,138.0,LD
114,53,15,63,58.0,5.0,271.0,LD
61,48,33,68,58.0,10.0,572.5,LD
13,18,2,33,7.0,25.0,17.0,LD
17,0,26,104,46.0,46.0,452.0,LD
125,195,27,9,102.0,93.0,105.0,LD
67,194,29,10,102.0,92.0,147.5,LD
241,192,29,12,102.0,90.0,126.0,LD
299,190,29,14,102.0,88.0,169.0,LD
337,189,28,15,102.0,87.0,143.0,LD
376,188,48,16,102.0,86.0,311.0,LD
434,187,30,17,102.0,85.0,159.0,LD
471,185,27,19,102.0,83.0,160.0,LD
